時間戳記,I agree that people in my life care about me.,How much of the time have I felt lonely during the past week?,My friends make me feel happy.,How often do I share my feelings with friends or relatives?,How much time do I feel hopeful about my future in my study/programme?,How would I rate my study-life balance?,"No matter what life throws at me, I believe that I can deal with it.",I believe that what can go wrong will go wrong.,I think the school provides good teaching systems.,I enjoy my school life and the school’s facilities.,How many times in the past week have I been in good spirits?,I am satisfied with my ability to perform activities of daily living.,I have enough money to buy things I want.,"In general, how much stress do I have with my personal finances?",My age is…,I am from… (Country/ Region),My gender is…,I am studying in…,The department where I am studying is 
2022/11/3 下午 3:33:30,Agree,Rarely,Sometimes,Once or twice a week,Often,Somewhat poor,Strongly agree,Disagree,Agree,Neither agree or disagree,Rarely,Satisfied,Agree,Moderate stress,Over 32,Taiwan,Female,Master’s Degree,A/Computing
2022/11/3 下午 9:00:28,Agree,Often,Often,About once a day,Sometimes,Somewhat poor,Agree,Disagree,Agree,Neither agree or disagree,Often,Neither satisfied nor dissatisfied,Strongly disagree,High stress,23–27,Taiwan,Female,Master’s Degree,A/Art
2022/11/3 下午 11:23:47,Agree,Rarely,Very often or always,Once or twice a month,Very often or always,Neutral,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Often,Satisfied,Agree,Moderate stress,23–27,India,Female,Master’s Degree,A/Computing
2022/11/3 下午 11:24:56,Agree,Very rarely or never,Very often or always,Three times a week or more,Sometimes,Somewhat balance,Strongly agree,Neither agree or disagree,Agree,Agree,Sometimes,Satisfied,Disagree,Low stress,28–32,Taiwan,Female,Master’s Degree,A/Institute of Creative and Cultural Entrepreneurship
2022/11/3 下午 11:27:31,Agree,Often,Very often or always,Once or twice a month,Sometimes,Somewhat poor,Agree,Neither agree or disagree,Agree,Agree,Sometimes,Very dissatisfied,Strongly agree,Moderate stress,23–27,India,Female,Master’s Degree,A/Stacs
2022/11/3 下午 11:39:37,Strongly agree,Often,Often,Once or twice a week,Sometimes,Somewhat poor,Neither agree or disagree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Sometimes,Neither satisfied nor dissatisfied,Agree,High stress,23–27,Taiwan,Female,Master’s Degree,A/Art
2022/11/4 上午 5:53:49,Agree,Sometimes,Often,Never,Often,Somewhat balance,Agree,Disagree,Agree,Agree,Sometimes,Satisfied,Neither agree or disagree,Moderate stress,18–22,Spain ,Female,Master’s Degree,A/Computing
2022/11/4 上午 11:57:56,Agree,Sometimes,Often,Once or twice a month,Often,Somewhat poor,Disagree,Agree,Neither agree or disagree,Agree,Sometimes,Neither satisfied nor dissatisfied,Agree,Moderate stress,18–22,Uniter Kingdom,Female,Bachelor’s Degree,A/Computing
2022/11/4 上午 11:59:56,Agree,Sometimes,Often,Once or twice a week,Often,Somewhat balance,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Often,Neither satisfied nor dissatisfied,Agree,Moderate stress,23–27,Italy,Female,Bachelor’s Degree,A/Computing
2022/11/4 下午 12:02:45,Agree,Often,Very often or always,Three times a week or more,Sometimes,Somewhat balance,Agree,Agree,Neither agree or disagree,Agree,Often,Satisfied,Agree,Low stress,18–22,NW London,Female,Bachelor’s Degree,A/Computing
2022/11/4 下午 12:11:01,Strongly agree,Very rarely or never,Sometimes,About once a day,Very often or always,Somewhat poor,Agree,Disagree,Agree,Disagree,Often,Satisfied,Strongly disagree,No stress at all,Over 32,UK,Female,Bachelor’s Degree,A/Computing
2022/11/4 下午 4:26:47,Neither agree or disagree,Often,Often,Three times a week or more,Sometimes,Somewhat poor,Agree,Strongly agree,Agree,Agree,Sometimes,Neither satisfied nor dissatisfied,Neither agree or disagree,Low stress,18–22,China,Female,Master’s Degree,A/Computing
2022/11/4 下午 4:29:02,Strongly agree,Sometimes,Very often or always,Three times a week or more,Very often or always,Very balance,Agree,Disagree,Strongly agree,Agree,Often,Satisfied,Agree,Moderate stress,23–27,India,Female,Master’s Degree,"A/Media, Communications and Cultural Studies"
2022/11/4 下午 4:29:23,Strongly agree,Sometimes,Very often or always,About once a day,Sometimes,Neutral,Disagree,Neither agree or disagree,Agree,Agree,Often,Satisfied,Disagree,Moderate stress,23–27,Pakistan,Male,Master’s Degree,A/Computing
2022/11/4 下午 4:30:24,Strongly agree,Rarely,Often,Once or twice a week,Often,Very balance,Disagree,Neither agree or disagree,Agree,Agree,Often,Neither satisfied nor dissatisfied,Disagree,Moderate stress,18–22,CN,Male,Master’s Degree,A/Institute of Creative and Cultural Entrepreneurship
2022/11/4 下午 4:31:05,Strongly agree,Very rarely or never,Very often or always,Once or twice a week,Sometimes,Very poor,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Sometimes,Satisfied,Strongly disagree,Overwhelming stress,18–22,China,Prefer not to say,Master’s Degree,A/Computing
2022/11/4 下午 4:31:43,Agree,Rarely,Often,Once or twice a week,Sometimes,Neutral,Disagree,Disagree,Agree,Agree,Often,Neither satisfied nor dissatisfied,Agree,Moderate stress,18–22,China,Female,Master’s Degree,A/Computing
2022/11/4 下午 4:32:17,Agree,Rarely,Often,Once or twice a month,Sometimes,Somewhat poor,Agree,Agree,Agree,Neither agree or disagree,Sometimes,Satisfied,Disagree,High stress,23–27,India,Male,Master’s Degree,A/Computing
2022/11/4 下午 4:33:17,Strongly agree,Sometimes,Often,Once or twice a month,Sometimes,Somewhat balance,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Very often or always,Neither satisfied nor dissatisfied,Neither agree or disagree,Moderate stress,23–27,Italy,Female,Master’s Degree,"A/Media, Communications and Cultural Studies"
2022/11/4 下午 4:34:09,Neither agree or disagree,Very rarely or never,Often,Once or twice a week,Often,Neutral,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Very often or always,Very satisfied,Neither agree or disagree,Moderate stress,23–27,china,Female,Master’s Degree,A/Computing
2022/11/4 下午 4:34:25,Neither agree or disagree,Often,Sometimes,Three times a week or more,Rarely,Somewhat poor,Agree,Agree,Agree,Neither agree or disagree,Sometimes,Dissatisfied,Agree,Low stress,23–27,china,Female,Master’s Degree,A/Computing
2022/11/4 下午 4:35:32,Agree,Sometimes,Often,About once a day,Often,Somewhat poor,Agree,Agree,Strongly agree,Agree,Sometimes,Satisfied,Agree,Moderate stress,18–22,China,Male,Master’s Degree,A/Computing
2022/11/4 下午 4:36:08,Agree,Very often or always,Sometimes,Once or twice a month,Sometimes,Very poor,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Sometimes,Neither satisfied nor dissatisfied,Strongly disagree,Moderate stress,23–27,中国,Male,Master’s Degree,A/Computing
2022/11/4 下午 4:41:40,Strongly agree,Sometimes,Very often or always,Three times a week or more,Sometimes,Neutral,Neither agree or disagree,Disagree,Agree,Agree,Often,Satisfied,Disagree,Moderate stress,23–27,China,Female,Master’s Degree,A/Computing
2022/11/4 下午 4:42:20,Agree,Rarely,Often,About once a day,Very often or always,Somewhat balance,Strongly agree,Agree,Agree,Agree,Rarely,Dissatisfied,Strongly disagree,Overwhelming stress,23–27,India,Female,Master’s Degree,A/Computing
